CUSTOMERID,FAMILYNAME,GIVENNAME,DATEOFBIRTH,CITY,COUNTRY,POSTALCODE,CELLCOUNTRYCODE,PHONECOUNTRYCODE,CERTIFICATEEXPIRYDATE,CERTIFICATEISSUER,CERTIFICATETYPE,LASTMAINTENANCETELLERID,REGISTRATIONDATE,CUSTOMERTYPE,NATIONALITY,GENDER,ETHNICGROUP,OCCUPATION,EMAIL,ISBILLINGORG,ISMERCHANT
2203,biz,th,21/2/2024 0:00,Ang Mo Kio,Singapore,123123,65,65,31/12/2099,Singapore,IC number,API,21/2/2024 0:00,200,Singapore,Female,Singapore,None,tsehwee2@gmail.com,FALSE,FALSE
2204,Blub,Derp,7/2/2024 0:00,Bukit Timah,Singapore,123456,65,65,31/12/2099,199,IC number,API,25/2/2024 0:00,100,199,Male,199,Student,user1@mail.com,FALSE,FALSE
2205,None,SMU,1/1/1900 0:00,Jurong West,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/2/2024 0:00,200,199,Prefer to not say,199,ABBOT,user1@mail.com,FALSE,FALSE
2206,None,SMU,1/1/1900 0:00,Jurong West,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/2/2024 0:00,200,199,Prefer to not say,199,ABBOT,user1@mail.com,FALSE,FALSE
2207,Smith,John,28/2/2024 0:00,Bukit Timah,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/2/2024 0:00,100,199,Male,199,ABBOT,user1@mail.com,FALSE,FALSE
2210,a,a,28/2/2024 0:00,Ashkasham,Singapore,123123,93,93,31/12/2099,1,IC number,API,28/2/2024 0:00,100,1,Male,1,ABBOT,user5@mail.com,FALSE,FALSE
2211,4242,4242,6/5/2007 0:00,Bukit Timah,Singapore,23232,65,65,31/12/2099,199,IC number,API,4/3/2024 0:00,100,199,Male,199,ABBOT,test1@gmail.com,FALSE,FALSE
2212,4242,4242,4/2/1990 0:00,Bukit Timah,Singapore,4242,65,65,31/12/2099,199,IC number,API,5/3/2024 0:00,100,199,Male,199,ABBOT,4242@gmail.com,FALSE,FALSE
2214,4242,4242,4/2/2002 0:00,Bukit Timah,Singapore,4242,65,65,31/12/2099,199,IC number,API,5/3/2024 0:00,100,199,Male,199,ABBOT,4242@gmail.com,FALSE,FALSE
2215,4242,4242,31/3/2000 0:00,Bukit Timah,Singapore,4242,65,65,31/12/2099,199,IC number,API,5/3/2024 0:00,100,199,Male,199,ABBOT,4242@gmail.com,FALSE,FALSE
2216,4242,4242,4/2/1990 0:00,Bukit Timah,Singapore,4242,65,65,31/12/2099,199,IC number,API,5/3/2024 0:00,100,199,Male,199,ABBOT,42424242@gmail.com,FALSE,FALSE
2217,4242,4242,4/2/1990 0:00,Bukit Timah,Singapore,4242,65,65,31/12/2099,199,IC number,API,5/3/2024 0:00,100,199,Male,199,ABBOT,4242@gmail.com,FALSE,FALSE
2218,4242,4242,4/2/2000 0:00,Bukit Timah,Singapore,4242,65,65,31/12/2099,199,IC number,API,5/3/2024 0:00,100,199,Male,199,ABBOT,4242@gmail.com,FALSE,FALSE
2219,4242,4242,4/2/2000 0:00,Bukit Timah,Singapore,4242,65,65,31/12/2099,199,IC number,API,5/3/2024 0:00,100,199,Male,199,ABBOT,s42424242L@gmail.com,FALSE,FALSE
2221,Test,User,4/2/1998 0:00,Bukit Timah,Singapore,424242,65,65,31/12/2099,199,IC number,API,6/3/2024 0:00,100,199,Male,199,ABBOT,4242@gmail.com,FALSE,FALSE
2222,ew,ew,4/2/1990 0:00,Bukit Timah,Singapore,4242,65,65,31/12/2099,199,IC number,API,6/3/2024 0:00,100,199,Male,199,ABBOT,4242@gmail.com,FALSE,FALSE
2223,None,1324,1/1/1900 0:00,Ashkasham,Singapore,1234,93,93,31/12/2099,1,IC number,API,9/3/2024 0:00,200,1,Prefer to not say,1,None,user1@mail.com,FALSE,FALSE
2224,None,1234,1/1/1900 0:00,Bukit Timah,Singapore,2134,65,65,31/12/2099,199,IC number,API,9/3/2024 0:00,200,199,Prefer to not say,199,None,user1@mail.com,FALSE,TRUE
2225,None,4242,1/1/1900 0:00,Bukit Timah,Singapore,4242,65,65,31/12/2099,199,IC number,API,13/3/2024 0:00,200,199,Prefer to not say,199,None,4242@gmail.com,FALSE,FALSE
2226,4242,4242,13/3/2024 0:00,Bukit Timah,Singapore,4242,65,65,31/12/2099,199,IC number,API,13/3/2024 0:00,100,199,Male,199,Student,4242@mail.com,FALSE,FALSE
2227,a,a,17/3/2024 0:00,Bukit Timah,Singapore,123123,65,65,31/12/2099,199,IC number,API,17/3/2024 0:00,100,199,Male,199,Student,user1@mail.com,FALSE,FALSE
2228,leong,jon,20/3/1999 0:00,Bukit Timah,Singapore,466507,65,65,31/12/2099,199,IC number,API,20/3/2024 0:00,100,199,Male,199,ABBOT,smu@smu.com,FALSE,FALSE
2229,Smith,John,6/3/2022 0:00,Yishun,Singapore,999900,65,65,31/12/2099,199,IC number,API,20/3/2024 0:00,100,199,Male,199,ABLE SEAMAN,2333@gmail.com,FALSE,FALSE
2230,-,th,20/3/2024 0:00,Bukit Timah,Singapore,111111,65,65,31/12/2099,Singapore,IC number,API,20/3/2024 0:00,100,Singapore,Female,Singapore,None,2@w.co,FALSE,FALSE
2242,Megargel,Alan,11/12/1960 0:00,Woodlands,Singapore,737927,65,65,31/12/2099,199,IC number,API,29/3/2024 0:00,100,199,Male,199,PROFESSOR,alanmegargel@smu.edu.sg,FALSE,FALSE
2243,None,Narfin,1/1/1900 0:00,Woodlands,Singapore,737937,65,65,31/12/2099,199,IC number,API,29/3/2024 0:00,200,199,Prefer to not say,199,None,alanmegargel@smu.edu.sg,FALSE,FALSE
2244,Smith,John,1/1/1900 0:00,Bukit Tima,Singapore,123123,65,65,31/12/2099,199,IC number,API,6/4/2024 0:00,"100",199,Male,199,Student,user10@mail.com,FALSE,FALSE
2245,Smith,John,1/1/1900 0:00,Bukit Tima,Singapore,123123,65,65,31/12/2099,199,IC number,API,6/4/2024 0:00,100,199,Male,199,Student,user9@mail.com,FALSE,FALSE
2246,Smith,John,1/1/1900 0:00,Bukit Tima,Singapore,123123,65,65,31/12/2099,199,IC number,API,6/4/2024 0:00,"100",199,Male,199,Student,user11@mail.com,FALSE,FALSE
2247,Smith,John,1/1/1900 0:00,Bukit Tima,Singapore,123123,65,65,31/12/2099,199,IC number,API,11/4/2024 0:00,"100",199,Male,199,Student,user12@mail.com,FALSE,FALSE
2248,Smith,John,1/1/1900 0:00,Bukit Tima,Singapore,123123,65,65,31/12/2099,199,IC number,API,11/4/2024 0:00,100,199,Male,199,Student,user16@mail.com,FALSE,FALSE
2249,Smith,John,22/2/2022 0:00,Bukit Timah,Singapore,4242,65,65,31/12/2099,199,IC number,API,11/4/2024 0:00,100,199,Male,199,Student,user20@mail.com,FALSE,FALSE
2250,525252,525252,24/2/4222 0:00,Bukit Timah,Singapore,525252,65,65,31/12/2099,199,IC number,API,11/4/2024 0:00,100,199,Male,199,Student,4242@mail.com,FALSE,FALSE
2266,5353555 TEST,TEST,17/2/2000 0:00,Bukit Timah,Singapore,535353,65,65,31/12/2099,199,IC number,API,18/4/2024 0:00,100,199,Male,199,ACCESS NETWORK MANAGER,535353@gmail.com,FALSE,FALSE
2267,Smith,John,1/1/1900 0:00,Bukit Tima,Singapore,123123,65,65,31/12/2099,199,IC number,API,18/4/2024 0:00,100,199,Male,199,Student,user17@mail.com,FALSE,FALSE
2268,Smith,John,1/1/1900 0:00,Bukit Tima,Singapore,123123,65,65,31/12/2099,199,IC number,API,18/4/2024 0:00,100,199,Male,199,Student,user21@mail.com,FALSE,FALSE
2269,Smith,John,22/12/1990 0:00,Bukit Timah,Singapore,123123,65,65,31/12/2099,199,IC number,API,18/4/2024 0:00,100,199,Male,199,Student,user22@mail.com,FALSE,FALSE
2270,Smith,John,1/12/1990 0:00,Tanjong Pagar,Singapore,123123,65,65,31/12/2099,199,IC number,API,18/4/2024 0:00,100,199,Male,199,ABBOT,user23@mail.com,FALSE,FALSE
2271,Smith,John,12/1/1990 0:00,Bukit Timah,Singapore,123123,65,65,31/12/2099,199,IC number,API,18/4/2024 0:00,100,199,Male,199,ABBOT,user24@mail.com,FALSE,FALSE
2272,Smith,John,1/1/1900 0:00,Bukit Tima,Singapore,123123,65,65,31/12/2099,199,IC number,API,18/4/2024 0:00,100,199,Male,199,Student,user13@mail.com,FALSE,FALSE
2273,Smith,John,1/1/1900 0:00,Bukit Tima,Singapore,123123,65,65,31/12/2099,199,IC number,API,18/4/2024 0:00,100,199,Male,199,Student,user25@mail.com,FALSE,FALSE
2274,test 2,test 2,23/10/1996 0:00,Bukit Timah,Singapore,535353,65,65,31/12/2099,199,IC number,API,18/4/2024 0:00,100,199,Male,199,ABBOT,53535353@gmail.com,FALSE,FALSE
2275,Smith,John,1/1/1900 0:00,Bukit Timah,Singapore,123123,65,65,31/12/2099,Singapore,IC number,API,18/4/2024 0:00,100,Singapore,Male,Singapore,Student,user26@mail.com,FALSE,FALSE
2276,Smith,John,1/1/1900 0:00,Bukit Timah,Singapore,123123,65,65,31/12/2099,Singapore,IC number,API,19/4/2024 0:00,100,Singapore,Male,Singapore,Student,user30@mail.com,FALSE,FALSE
2278,Megargel,Alan,11/12/1960 0:00,Woodlands,Singapore,111111,65,65,31/12/2099,199,IC number,API,6/7/2024 0:00,100,199,Male,199,PROFESSOR,alanmegargel@smu.edu.sg,FALSE,FALSE
2279,None,TestCo,1/1/1900 0:00,Bukit Timah,Singapore,51234,65,65,31/12/2099,199,IC number,API,17/7/2024 0:00,200,199,Prefer to not say,199,None,test@testCo.com,FALSE,FALSE
2280,None,Impawsible,1/1/1900 0:00,Singapore,Singapore,23665,65,65,31/12/2099,199,IC number,API,5/8/2024 0:00,200,199,Prefer to not say,199,None,jeffryzhou.2021@scis.smu.edu.sg,FALSE,FALSE
2281,None,Impawsible,1/1/1900 0:00,Serangoon,Singapore,600000,65,65,31/12/2099,199,IC number,API,5/8/2024 0:00,200,Singapore,Prefer to not say,Singapore,None,jeffryzhou.2021@scis.smu.edu.sg,FALSE,FALSE
2282,Zhou,Jeffry,25/8/2000 0:00,None,Singapore,600000,65,65,31/12/2099,199,IC number,API,5/8/2024 0:00,100,199,Male,199,Student,jeffryzhou.2021@scis.smu.edu.sg,FALSE,FALSE
2283,None,TestCopUser,1/1/1900 0:00,Woodlands,Singapore,760888,65,65,31/12/2099,199,IC number,API,18/8/2024 0:00,200,199,Prefer to not say,199,None,TestCopUser1@test.com,FALSE,FALSE
2284,TestCopAccount1,TestCopAccount1,31/12/2014 0:00,Singapore,Singapore,512345,None,None,31/12/2099,Singapore,IC number,API,19/8/2024 0:00,200,Singapore,Prefer to not say,Singapore,None,TestCopAccount1@test.com,FALSE,FALSE
2285,None,TestCopAccount2,1/1/1900 0:00,Ang Mo Kio,Singapore,512345,65,65,31/12/2099,199,IC number,API,19/8/2024 0:00,200,199,Prefer to not say,199,None,TestCopAccount2@test.com,FALSE,FALSE
2286,None,ABC Testaccount ,1/1/1900 0:00,Bukit Timah,Singapore,661021,65,65,31/12/2099,199,IC number,API,19/8/2024 0:00,200,199,Prefer to not say,199,None,abc@test.com,FALSE,FALSE
2287,None,Test,1/1/1900 0:00,Singapore,Singapore,178902,65,65,31/12/2099,199,IC number,API,20/8/2024 0:00,200,199,Prefer to not say,199,None,test@alexis.com,FALSE,FALSE
2288,L,Alexis,31/12/1999 0:00,Singapore,Singapore,string,65,65,31/12/2099,199,IC number,API,20/8/2024 0:00,100,Singapore,Male,Singapore,Student,darientan28@gmail.com,TRUE,FALSE
2289,Blanston,Gern,11/12/1960 0:00,Woodlands,Singapore,730808,65,65,31/12/2099,199,IC number,API,23/8/2024 0:00,100,199,Male,199,ASSOCIATE PROFESSOR,alanmegargel@smu.edu.sg,FALSE,FALSE
2290,Blanston,Gern,20/8/2004 0:00,Woodlands,Singapore,737937,65,65,31/12/2099,199,IC number,API,23/8/2024 0:00,100,199,Male,199,ABBOT,alanmegargel@smu.edu.sg,FALSE,FALSE
2291,None,Corp 123,1/1/1900 0:00,Woodlands,Singapore,737937,65,65,31/12/2099,199,IC number,API,23/8/2024 0:00,200,199,Prefer to not say,199,None,alanmegargel@smu.edu.sg,FALSE,FALSE
2292,Lim,Tse Hwee,17/9/1995 0:00,None,None,0,65,65,31/12/2099,None,IC number,API,23/8/2024 0:00,100,Prefer to not say,Female,Prefer to not say,None,tsehwee.lim.2020@scis.smu.edu.sg,FALSE,FALSE
2293,Ho,Shi Hui,18/7/2003 0:00,Singapore,Singapore,123,65,65,31/12/2099,None,IC number,API,28/8/2024 0:00,100,199,Female,199,AIRCRAFT CLEANER,shihui.ho.2022@scis.smu.edu.sg,FALSE,FALSE
2294,C,Keona,24/12/2003 0:00,None,None,178902,65,65,31/12/2099,None,IC number,API,28/8/2024 0:00,100,Prefer to not say,Female,Prefer to not say,Student,keona.chua.2022@smu.edu.sg,FALSE,FALSE
2295,Lim,Jane,4/9/2024 0:00,None,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,FARM MANAGER,janelim.2021@scis.smu.edu.sg,FALSE,FALSE
2296,Chiluveru,Sathwik,1/1/1970 0:00,Singapore,Singapore,696969,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,None,sathwikc.2022@scis.smu.edu.sg,FALSE,FALSE
2297,Tan,Jia Jin,1/1/2023 0:00,Singapore,Singapore,540290,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,Student,jiajin.tan.2021@scis.smu.edu.sg,FALSE,FALSE
2298,Tang,Wei Long,20/11/2000 0:00,Jurong West,Singapore,600389,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,Student,wltang.2022@scis.smu.edu.sg,FALSE,FALSE
2299,Hay,HayBrother,1/1/2023 0:00,None,Singapore,673633,65,65,31/12/2099,101,IC number,API,28/8/2024 0:00,100,101,Male,101,CROCODILE FARMER,malcolm.sim.2021@scis.smu.edu.sg,FALSE,FALSE
2300,Wong,"Wong Jian Xuan, Damon",13/8/1999 0:00,Yishun,Singapore,670369,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,Student,damon.wong.2022@scis.smu.edu.sg,FALSE,FALSE
2301,Tan,Quan Wah,1/1/2010 0:00,None,Singapore,560180,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,BOAT CLEANER,quanwah.tan.2021@smu.edu.sg,FALSE,FALSE
2302,Loh,Gerard,1/1/2001 0:00,None,Singapore,188065,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,Enterprise Architect,gerard.loh.2022@scis.smu.edu.sg,FALSE,FALSE
2303,Siew,Amelia,1/1/1967 0:00,None,None,123456,65,65,31/12/2099,None,IC number,API,28/8/2024 0:00,100,Prefer to not say,Female,Prefer to not say,None,amelia.siew.2022@smu.edu.sg,FALSE,FALSE
2304,Wong,Gabriel,1/1/2002 0:00,None,Singapore,188065,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,None,gabrielwong.2021@scis.smu.edu.sg,FALSE,FALSE
2305,Tang,Wei Long,11/11/2000 0:00,None,None,600243,65,65,31/12/2099,None,IC number,API,28/8/2024 0:00,100,Prefer to not say,Male,Prefer to not say,None,wltang.2022@scis.smu.edu.sg,FALSE,FALSE
2306,Naidu,Jessa,1/1/1967 0:00,None,None,123456,65,65,31/12/2099,None,IC number,API,28/8/2024 0:00,100,Prefer to not say,Female,Prefer to not say,None,jessanaidu.2022@smu.edu.sg,FALSE,FALSE
2307,Chiluveru,Sathwik,1/1/1970 0:00,Bukit Timah,Singapore,258445,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,CERAMICS RESEARCH ENGINEER,sathwikc.2022@scis.smu.edu.sg,FALSE,FALSE
2308,Test,Test,10/10/1999 0:00,Bukit Timah,Singapore,999999,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,ABBOT,lucerneloke.2022@scis.smu.edu.sg,FALSE,FALSE
2309,Ng,Jing Jie ,29/9/1999 0:00,Tampines,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,Student,jingjie.ng.2022@scis.smu.edu.sg,FALSE,FALSE
2310,chong,Ritz,31/1/2001 0:00,Singapore,Singapore,888888,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,Student,ritz.chong.2022@scis.smu.edu.sg,FALSE,FALSE
2311,P,Ming Ying,19/1/2002 0:00,None,Singapore,188065,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,None,mypeh.2021@scis.smu.edu.sg,FALSE,FALSE
2312,Chiluveru,Sathwik,1/1/1970 0:00,Orchard Road,Singapore,258445,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,ABLE SEAMAN,sathwikc.2022@scis.smu.edu.sg,FALSE,FALSE
2313,Ng,Taz,16/1/2003 0:00,None,None,534023,65,65,31/12/2099,None,IC number,API,28/8/2024 0:00,100,Prefer to not say,Female,Prefer to not say,None,taz.ng.2022@smu.edu.sg,FALSE,FALSE
2314,Kham,Fern,17/8/2001 0:00,Singapore,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,Student,kknang.2022@scis.smu.edu,FALSE,FALSE
2315,cham,Shyan,10/1/2003 0:00,Tampines,Singapore,520735,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,Student,shyan.cham.2022@scis.smu.edu.sg,FALSE,FALSE
2316,Lim,Zi Yi,7/3/2001 0:00,None,Singapore,188065,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,Enterprise Architect,ziyi.lim.2022@scis.smu.edu.sg,FALSE,FALSE
2317,Lim,Alyssa ,13/8/2003 0:00,Hougang,Singapore,512345,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,Student,alyssa.lim.2022@scis.smu.edu.sg,FALSE,FALSE
2318,Chua,Clarise,6/1/2003 0:00,Hougang,Singapore,520123,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,None,clarisechua.2022@scis.smu.edu.sg,FALSE,FALSE
2319,Lee,Ming Yan,2/1/2000 0:00,Punggol,Singapore,511222,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,Student,minweiah585@gmail.com,FALSE,FALSE
2320,Ng,Jing Jie,29/9/1999 0:00,Tampines,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,Student,jingjie.ng.2022@scis.smu.edu.sg,FALSE,FALSE
2321,Chok,Javan,11/11/2002 0:00,None,None,123456,65,65,31/12/2099,None,IC number,API,28/8/2024 0:00,100,Prefer to not say,Male,Prefer to not say,None,javan.chok.2022@scis.smu.edu.sg,FALSE,FALSE
2323,Teo,Ryan,1/1/2000 0:00,None,Singapore,0,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,SOCIAL ESCORT,ryan.teo.2022@scis.smu.edu.sg,FALSE,FALSE
2324,Teo,Axel,1/1/2000 0:00,None,None,0,65,65,31/12/2099,None,IC number,API,28/8/2024 0:00,100,Prefer to not say,Male,Prefer to not say,SOCIAL ESCORT,pinbo.teo.2022@scis.smu.edu.sg,FALSE,FALSE
2325,Siah,Rowayne,3/7/2000 0:00,Bedok,Singapore,470147,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,DEBT COLLECTOR,rowaynesiah.2022@scis.smu.edu.sg,FALSE,FALSE
2326,Yap,Jocelyn,10/10/2001 0:00,None,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,Student,jocelyn.yap.2022@scis.smu.edu.sg,FALSE,FALSE
2327,Doe,John,1/8/2024 0:00,Woodlands,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,ABBOT,shawn.ng.2022@scis.smu.edu.sg,FALSE,FALSE
2328,Lim,Eunice,12/12/2012 0:00,Rochor,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,None,eunice.lim.2022@scis.smu.edu.sg,FALSE,FALSE
2329,k,f,9/8/2024 0:00,Bukit Batok,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,ABLE SEAMAN,shawn.ng.2022@scis.smu.edu.sg,FALSE,FALSE
2330,Yap,Jocelyn,18/2/2001 0:00,None,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,Student,jocelyn.yap.2022@scis.smu.edu.sg,FALSE,FALSE
2331,De Saram,Bodhini Randika ,3/10/2004 0:00,None,Singapore,114560,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,Student,brsaram.2022@scis.smu.edu.sg,FALSE,FALSE
2332,Christina,Tirsa ,1/8/2024 0:00,None,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,Student,tchristina.2022@scis.smu.edu.sg,FALSE,FALSE
2333,Khoo,Ryan,21/11/2000 0:00,None,Singapore,555555,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,None,ryan.khoo.2022@scis.smu.edu.sg,FALSE,FALSE
2334,Sin,Myat,9/6/2002 0:00,None,Singapore,555555,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,Student,mpseaint@smu.edu.sg,FALSE,FALSE
2335,Christina,Tirsa ,5/8/2024 0:00,None,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,Student,tchristina.2022@scis.smu.edu.sg,FALSE,FALSE
2336,Tan,Edwin,28/8/2024 0:00,None,Singapore,444444,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,Student,edwin.tan.2022@scis.smu.edu.sg,FALSE,FALSE
2337,ng,kai feng,6/6/2000 0:00,Singapore,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,ACCOUNTING PROGRAMMER,kaifeng.ng.2022@scis.smu.edu.sg,FALSE,FALSE
2338,tan,edwin,18/1/2000 0:00,None,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Male,199,ACCOUNTING OFFICER,edwin.tan.2022@scis.smu.edu.sg,FALSE,FALSE
2339,Kok,Zia ,3/5/2003 0:00,None,Singapore,123456,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,ABBOT,zia.kok.2022@scis.smu.edu.sg,FALSE,FALSE
2340,Chua,Clarise,6/1/2003 0:00,Hougang,Singapore,520888,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,Student,clarisechua.2022@scis.smu.edu.sg,FALSE,FALSE
2341,Naidu,Jessa,1/1/1967 0:00,None,None,123456,65,65,31/12/2099,None,IC number,API,28/8/2024 0:00,100,Prefer to not say,Female,Prefer to not say,None,jessanaidu@smu.edu.sg,FALSE,FALSE
2342,Wang,Sihua,18/7/2003 0:00,None,Singapore,400014,65,65,31/12/2099,199,IC number,API,28/8/2024 0:00,100,199,Female,199,DIGITAL PRODUCT MANAGER,sihua.wang.2022@scis.smu.edu.sg,FALSE,FALSE
2343,Wang,Sihua,18/7/2003 0:00,None,None,400014,65,65,31/12/2099,None,IC number,API,28/8/2024 0:00,100,Prefer to not say,Female,Prefer to not say,None,sihua.wang.2022@scis.smu.edu.sg,FALSE,FALSE
2344,Ng,Jing Jie,29/9/1999 0:00,Tampines,Singapore,521888,65,65,31/12/2099,199,IC number,API,29/8/2024 0:00,100,199,Male,199,Student,jingjie.ng.2022@scis.smu.edu.sg,FALSE,FALSE
2345,Lim,Jean,24/7/2003 0:00,None,Singapore,555555,65,65,31/12/2099,199,IC number,API,30/8/2024 0:00,100,199,Female,199,Student,rianne.limje@gmail.com,FALSE,FALSE
2346,Wang,Sihua,18/7/2003 0:00,None,Singapore,400014,65,65,31/12/2099,199,IC number,API,31/8/2024 0:00,100,199,Female,199,None,sihua.wang.2022@scis.smu.edu.sg,FALSE,FALSE
2347,Tan,Angela ,17/1/1999 0:00,None,None,518155,65,65,31/12/2099,None,IC number,API,31/8/2024 0:00,100,Prefer to not say,Female,Prefer to not say,None,angela.tan.2022@scis.smu.edu.sg,FALSE,FALSE
2348,Christina,Tirsa,31/1/2021 0:00,None,Singapore,123456,65,65,31/12/2099,199,IC number,API,31/8/2024 0:00,100,199,Female,199,Student,tchristina.2022@scis.smu.edu.sg,FALSE,FALSE
2349,Doe,John,14/8/2024 0:00,Ang Mo Kio,Singapore,123456,65,65,31/12/2099,199,IC number,API,1/9/2024 0:00,100,199,Male,199,ABBOT,shawn.ng.2022@scis.smu.edu.sg,FALSE,FALSE
2350,Doe,John,9/7/2024 0:00,Downtown Core,Singapore,188613,65,65,31/12/2099,199,IC number,API,1/9/2024 0:00,100,199,Male,199,ABLE SEAMAN,shawn.ng.2022@scis.smu.edu.sg,FALSE,FALSE
2351,De Saram,Randika,10/3/2004 0:00,None,None,114600,65,65,31/12/2099,None,IC number,API,1/9/2024 0:00,100,Prefer to not say,Female,Prefer to not say,None,brsaram.2022@scis.smu.edu.sg,FALSE,FALSE
2352,De Saram,Randika,10/3/2004 0:00,None,None,114600,65,65,31/12/2099,None,IC number,API,1/9/2024 0:00,100,Prefer to not say,Female,Prefer to not say,None,brsaram.2022@scis.smu.edu.sg,FALSE,FALSE
2353,Christina,Tirsa ,1/1/2019 0:00,None,Singapore,123456,65,65,31/12/2099,199,IC number,API,1/9/2024 0:00,100,199,Female,199,Student,tchristina.2022@scis.smu.edu.sg,FALSE,FALSE
2354,Li,Fiona,1/1/2002 0:00,None,Singapore,188065,65,65,31/12/2099,199,IC number,API,2/9/2024 0:00,100,199,Female,199,COMPUTER SOFTWARE ENGINEER,fiona.li.2021@scis.smu.edu.sg,FALSE,FALSE
2355,Chua,Sharon,19/10/2001 0:00,None,None,530642,65,65,31/12/2099,None,IC number,API,2/9/2024 0:00,100,Prefer to not say,Female,Prefer to not say,None,sharon.chua.2021@scis.smu.edu.sg,FALSE,FALSE
2356,None,IS484 Team 2,1/1/1900 0:00,None,None,530642,65,65,31/12/2099,None,IC number,API,2/9/2024 0:00,200,Prefer to not say,Prefer to not say,Prefer to not say,None,sharon.chua.2021@scis.smu.edu.sg,FALSE,FALSE
2357,None,IS484 Team 2 (test),1/1/1900 0:00,None,None,530642,65,65,31/12/2099,None,IC number,API,2/9/2024 0:00,200,Prefer to not say,Prefer to not say,Prefer to not say,None,sharon.chua.2021@scis.smu.edu.sg,FALSE,FALSE
2358,Blanston,Gern,11/12/1960 0:00,Woodlands,Singapore,111111,65,65,31/12/2099,199,IC number,API,3/9/2024 0:00,100,199,Male,199,ABBOT,alanmegargel@smu.edu.sg,FALSE,FALSE
2359,Blanston,Gern,11/12/1960 0:00,Woodlands,Singapore,111111,65,65,31/12/2099,199,IC number,API,3/9/2024 0:00,100,199,Male,199,ABLE SEAMAN,alanmegargel@smu.edu.sg,FALSE,FALSE
2360,Blanston,Gern,11/12/1960 0:00,None,None,111111,65,65,31/12/2099,None,IC number,API,3/9/2024 0:00,100,Prefer to not say,Male,Prefer to not say,ABRASIVE WHEEL MOULDER,alanmegargel@smu.edu.sg,FALSE,FALSE
2361,Blanston,Gern,12/12/1960 0:00,None,None,111111,65,65,31/12/2099,None,IC number,API,3/9/2024 0:00,100,Prefer to not say,Male,Prefer to not say,None,alanmegargel@smu.edu.sg,FALSE,FALSE
